name,avg_rating,num_of_reviews,latitude,longitude,zip_code,Delivery,Dine-in,Takeout,Good for kids,Casual,Dinner,Lunch,Monday_open,Tuesday_open,Wednesday_open,Thursday_open,Friday_open,Saturday_open,Sunday_open,Monday_close,Tuesday_close,Wednesday_close,Thursday_close,Friday_close,Saturday_close,Sunday_close
Alpine Pizza,4.3,45,43.837432899999996,-73.76125429999999,12870,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stewart's Shops,2.2,15,43.017033,-74.19412,12010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al's Pizzeria,4.2,28,43.056137,-74.3421146,12078,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulistan Pizza,3.3,8,40.7452073,-74.2201159,07106,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FREEHOLD In The Park,4.2,78,40.736449799999995,-73.9899257,10003,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caputo's Pizzeria,4.3,34,41.461151699999995,-74.4122703,10940,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rax's Pizza,4.1,28,40.646968,-74.0080543,11220,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nino's Bellissima Pizza,3.3,6,40.7532766,-73.9693662,10017,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Place Pizza & Bakery,4.1,88,41.7029673,-73.9264634,12601,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavese's Pizza,4.5,18,41.5918041,-73.91964279999999,12590,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bella pizza coffee bar,4.7,18,40.7488224,-73.86948629999999,11368,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tri Bros. Pizzeria & Café,4.4,28,40.6401341,-74.01951369999999,11220,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sutton Pizza & Gyro,4.3,54,40.7618037,-73.9601575,10065,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downtown Pizza,4.6,48,40.7583183,-74.044303,07087,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIA ROMA,4.2,28,40.2569057,-74.5473298,08520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yaya's,4.5,55,40.6452704,-73.9488372,11226,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Chef,3.4,34,40.842124,-73.92464,10452,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stewart's Shops,3.8,18,42.654138599999996,-73.7726414,12208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crave Pizza,4.5,58,43.3391592,-73.6817646,12804,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coney Deli & Pizza,4.1,18,40.5861106,-73.9668322,11235,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pizza,3.9,74,40.2533142,-74.3398771,07726,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast Pizza and Bones,4.7,47,42.4794962,-76.47771329999999,14850,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
