name,street_address,zip_code,avg_rating,num_of_reviews,price,Monday_open,Monday_close,Tuesday_open,Tuesday_close,Wednesday_open,Wednesday_close,Thursday_open,Thursday_close,Friday_open,Friday_close,Saturday_open,Saturday_close,Sunday_open,Sunday_close,Delivery,Dine-in,Takeout,Good for kids,Casual,Dinner,Lunch
Stewart's Shops,4192 NY-30,12010,2.2,15.0,2.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rax's Pizza,4613 5th Ave,11220,4.1,28.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sutton Pizza & Gyro,1140 1st Ave,10065,4.3,54.0,1.0,10.0,23.0,10.0,23.0,10.0,23.0,10.0,23.0,10.0,23.0,10.0,23.0,11.0,23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Stewart's Shops,10 New Scotland Ave,12208,3.8,18.0,2.0,5.0,23.0,5.0,23.0,5.0,23.0,5.0,23.0,5.0,23.0,5.0,23.0,5.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bella's,30 Main St,07930,4.3,75.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tony's Pizza,6112 4th Ave,11220,3.9,28.0,2.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,12.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Melanzana Pizza 1,519 Lakehurst Rd,08015,3.7,98.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
III Brothers Pizza,6690 E Black Horse Pike #12,08234,4.4,18.0,1.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papa John's Pizza,6 N 3rd Ave,10550,3.5,48.0,1.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,0.0,11.0,0.0,11.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Joey's Delicatessen,225 Main St,10801,4.2,38.0,1.0,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
